cbsa_code,cbsa_title,metro_area,county_fips,county_name
17820,"Colorado Springs, CO",1,08041,"El Paso County, Colorado"
17820,"Colorado Springs, CO",1,08119,"Teller County, Colorado"
17860,"Columbia, MO",1,29019,"Boone County, Missouri"
17860,"Columbia, MO",1,29053,"Cooper County, Missouri"
17860,"Columbia, MO",1,29089,"Howard County, Missouri"
17900,"Columbia, SC",1,45017,"Calhoun County, South Carolina"
17900,"Columbia, SC",1,45039,"Fairfield County, South Carolina"
17900,"Columbia, SC",1,45055,"Kershaw County, South Carolina"
17900,"Columbia, SC",1,45063,"Lexington County, South Carolina"
17900,"Columbia, SC",1,45079,"Richland County, South Carolina"
17900,"Columbia, SC",1,45081,"Saluda County, South Carolina"
17980,"Columbus, GA-AL",1,01113,"Russell County, Alabama"
17980,"Columbus, GA-AL",1,13053,"Chattahoochee County, Georgia"
17980,"Columbus, GA-AL",1,13145,"Harris County, Georgia"
17980,"Columbus, GA-AL",1,13197,"Marion County, Georgia"
17980,"Columbus, GA-AL",1,13215,"Muscogee County, Georgia"
17980,"Columbus, GA-AL",1,13259,"Stewart County, Georgia"
17980,"Columbus, GA-AL",1,13263,"Talbot County, Georgia"
18020,"Columbus, IN",1,18005,"Bartholomew County, Indiana"
18060,"Columbus, MS",0,28087,"Lowndes County, Mississippi"
18100,"Columbus, NE",0,31141,"Platte County, Nebraska"
18140,"Columbus, OH",1,39041,"Delaware County, Ohio"
18140,"Columbus, OH",1,39045,"Fairfield County, Ohio"
18140,"Columbus, OH",1,39049,"Franklin County, Ohio"
18140,"Columbus, OH",1,39073,"Hocking County, Ohio"
18140,"Columbus, OH",1,39089,"Licking County, Ohio"
18140,"Columbus, OH",1,39097,"Madison County, Ohio"
18140,"Columbus, OH",1,39117,"Morrow County, Ohio"
18140,"Columbus, OH",1,39127,"Perry County, Ohio"
18140,"Columbus, OH",1,39129,"Pickaway County, Ohio"
18140,"Columbus, OH",1,39159,"Union County, Ohio"
18180,"Concord, NH",0,33013,"Merrimack County, New Hampshire"
18220,"Connersville, IN",0,18041,"Fayette County, Indiana"
18260,"Cookeville, TN",0,47087,"Jackson County, Tennessee"
18260,"Cookeville, TN",0,47133,"Overton County, Tennessee"
18260,"Cookeville, TN",0,47141,"Putnam County, Tennessee"
18300,"Coos Bay, OR",0,41011,"Coos County, Oregon"
18380,"Cordele, GA",0,13081,"Crisp County, Georgia"
18420,"Corinth, MS",0,28003,"Alcorn County, Mississippi"
18460,"Cornelia, GA",0,13137,"Habersham County, Georgia"
18500,"Corning, NY",0,36101,"Steuben County, New York"
18580,"Corpus Christi, TX",1,48355,"Nueces County, Texas"
18580,"Corpus Christi, TX",1,48409,"San Patricio County, Texas"
18620,"Corsicana, TX",0,48349,"Navarro County, Texas"
18660,"Cortland, NY",0,36023,"Cortland County, New York"
18700,"Corvallis, OR",1,41003,"Benton County, Oregon"
18740,"Coshocton, OH",0,39031,"Coshocton County, Ohio"
18780,"Craig, CO",0,08081,"Moffat County, Colorado"
18820,"Crawfordsville, IN",0,18107,"Montgomery County, Indiana"
18860,"Crescent City, CA",0,06015,"Del Norte County, California"
18880,"Crestview-Fort Walton Beach-Destin, FL",1,12091,"Okaloosa County, Florida"
18880,"Crestview-Fort Walton Beach-Destin, FL",1,12131,"Walton County, Florida"
18900,"Crossville, TN",0,47035,"Cumberland County, Tennessee"
18980,"Cullman, AL",0,01043,"Cullman County, Alabama"
19000,"Cullowhee, NC",0,37099,"Jackson County, North Carolina"
19000,"Cullowhee, NC",0,37173,"Swain County, North Carolina"
19060,"Cumberland, MD-WV",1,24001,"Allegany County, Maryland"
19060,"Cumberland, MD-WV",1,54057,"Mineral County, West Virginia"
19100,"Dallas-Fort Worth-Arlington, TX",1,48085,"Collin County, Texas"
19100,"Dallas-Fort Worth-Arlington, TX",1,48113,"Dallas County, Texas"
19100,"Dallas-Fort Worth-Arlington, TX",1,48121,"Denton County, Texas"
19100,"Dallas-Fort Worth-Arlington, TX",1,48139,"Ellis County, Texas"
19100,"Dallas-Fort Worth-Arlington, TX",1,48231,"Hunt County, Texas"
19100,"Dallas-Fort Worth-Arlington, TX",1,48251,"Johnson County, Texas"
19100,"Dallas-Fort Worth-Arlington, TX",1,48257,"Kaufman County, Texas"
19100,"Dallas-Fort Worth-Arlington, TX",1,48367,"Parker County, Texas"
