"state","puma12","cbsa20","stab","CBSAName20","PUMA12name","pop20","afact2","afact"
"State code","PUMA (2012)","Core-based statistical area code","State abbr.","2020 CBSA name","PUMA12 name","Total population (2020 Census)","cbsa20-to-puma12 allocation factor","puma12-to-cbsa20 allocation factor"
"04","00105","38060","AZ","Phoenix-Mesa-Chandler, AZ","Maricopa County--Gilbert Town (North)",153232,0.0316,1 
"04","00106","38060","AZ","Phoenix-Mesa-Chandler, AZ","Maricopa County--Chandler City (Northeast)",121782,0.0251,1 
"04","00107","38060","AZ","Phoenix-Mesa-Chandler, AZ","Maricopa County--Chandler City (South)",128551,0.0265,1 
"04","00108","38060","AZ","Phoenix-Mesa-Chandler, AZ","Maricopa County--Tempe (South) & Chandler (Northwest) Cities",107998,0.0223,1 
"04","00109","38060","AZ","Phoenix-Mesa-Chandler, AZ","Maricopa County--Tempe City (North)",117306,0.0242,1 
"04","00110","38060","AZ","Phoenix-Mesa-Chandler, AZ","Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town",128268,0.0265,1 
"04","00111","38060","AZ","Phoenix-Mesa-Chandler, AZ","Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town",111540,0.023,1 
"04","00112","38060","AZ","Phoenix-Mesa-Chandler, AZ","Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek",130991,0.027,1 
"04","00113","38060","AZ","Phoenix-Mesa-Chandler, AZ","Phoenix City (Northeast)",105180,0.0217,1 
"04","00114","38060","AZ","Phoenix-Mesa-Chandler, AZ","Phoenix City (Northeast Central)",111355,0.023,1 
"04","00115","38060","AZ","Phoenix-Mesa-Chandler, AZ","Phoenix City (Northwest Central)",109655,0.0226,1 
"04","00116","38060","AZ","Phoenix-Mesa-Chandler, AZ","Phoenix City (Uptown)",110648,0.0228,1 
"04","00117","38060","AZ","Phoenix-Mesa-Chandler, AZ","Phoenix City (East)",104518,0.0216,1 
"04","00118","38060","AZ","Phoenix-Mesa-Chandler, AZ","Phoenix City--Downtown & Sky Harbor International Airport",118564,0.0245,1 
"04","00119","38060","AZ","Phoenix-Mesa-Chandler, AZ","Phoenix City (South)",117315,0.0242,1 
"04","00120","38060","AZ","Phoenix-Mesa-Chandler, AZ","Phoenix City--Ahwatukee & South Mountain",108724,0.0224,1 
"04","00121","38060","AZ","Phoenix-Mesa-Chandler, AZ","Phoenix (Southwest) & Tolleson Cities",151343,0.0312,1 
"04","00122","38060","AZ","Phoenix-Mesa-Chandler, AZ","Phoenix City--Maryvale (East)",112213,0.0232,1 
"04","00123","38060","AZ","Phoenix-Mesa-Chandler, AZ","Phoenix City--Maryvale (West)",121166,0.025,1 
"04","00124","38060","AZ","Phoenix-Mesa-Chandler, AZ","Maricopa County--Glendale City (South)",114799,0.0237,1 
"04","00125","38060","AZ","Phoenix-Mesa-Chandler, AZ","Phoenix City (West)",113774,0.0235,1 
"04","00126","38060","AZ","Phoenix-Mesa-Chandler, AZ","Maricopa County--Glendale City (North)",131160,0.0271,1 
"04","00127","38060","AZ","Phoenix-Mesa-Chandler, AZ","Maricopa County--Peoria City (South & Central)",120988,0.025,1 
"04","00128","38060","AZ","Phoenix-Mesa-Chandler, AZ","Phoenix City (North)",108237,0.0223,1 
"04","00129","38060","AZ","Phoenix-Mesa-Chandler, AZ","Phoenix (Far North) & Peoria (Northwest) Cities",142252,0.0294,1 
"04","00130","38060","AZ","Phoenix-Mesa-Chandler, AZ","Maricopa County--El Mirage City & Sun City",125567,0.0259,1 
"04","00131","38060","AZ","Phoenix-Mesa-Chandler, AZ","Maricopa County--Surprise City (Central)",123745,0.0255,1 
"04","00132","38060","AZ","Phoenix-Mesa-Chandler, AZ","Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities",147696,0.0305,1 
"04","00133","38060","AZ","Phoenix-Mesa-Chandler, AZ","Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities",121860,0.0251,1 
"04","00134","38060","AZ","Phoenix-Mesa-Chandler, AZ","Maricopa County (West) & Gila River Indian Community (Northwest)",169238,0.0349,0.9999 
"04","00134","39150","AZ","Prescott Valley-Prescott, AZ","Maricopa County (West) & Gila River Indian Community (Northwest)",9,0,0.0001 
"04","00201","46060","AZ","Tucson, AZ","Pima County (West)",104553,0.1002,1 
"04","00202","38060","AZ","Phoenix-Mesa-Chandler, AZ","Tucson (West) & Marana Cities",17,0,0.0001 
"04","00202","46060","AZ","Tucson, AZ","Tucson (West) & Marana Cities",129900,0.1245,0.9999 
"04","00203","46060","AZ","Tucson, AZ","Pima County (North Central)--Oro Valley Town",120071,0.1151,1 
"04","00204","46060","AZ","Tucson, AZ","Pima County (Northeast)",109221,0.1047,1 
"04","00205","43420","AZ","Sierra Vista-Douglas, AZ","Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town",4,0,0 
"04","00205","46060","AZ","Tucson, AZ","Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town",150888,0.1446,1 
"04","00206","46060","AZ","Tucson, AZ","Tucson City (Northeast)",103724,0.0994,1 
"04","00207","46060","AZ","Tucson, AZ","Tucson City (Northwest)",102692,0.0984,1 
"04","00208","46060","AZ","Tucson, AZ","Tucson City (South)",102958,0.0987,1 
"04","00209","46060","AZ","Tucson, AZ","Tucson City (Southeast)",119421,0.1145,1 
