"GEO_ID","NAME","B25077_001E","B25077_001M","B25077_001MA","B25077_001EA",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","Annotation of Margin of Error!!Median value (dollars)","Annotation of Estimate!!Median value (dollars)",
"310M500US17740","Coldwater, MI Micro Area","109800","3690","null","null",
"310M500US17780","College Station-Bryan, TX Metro Area","186800","4602","null","null",
"310M500US17820","Colorado Springs, CO Metro Area","275700","1975","null","null",
"310M500US17860","Columbia, MO Metro Area","175400","4255","null","null",
"310M500US17900","Columbia, SC Metro Area","154400","1211","null","null",
"310M500US17980","Columbus, GA-AL Metro Area","142800","3009","null","null",
"310M500US18020","Columbus, IN Metro Area","153500","5053","null","null",
"310M500US18060","Columbus, MS Micro Area","134200","6421","null","null",
"310M500US18100","Columbus, NE Micro Area","149700","5876","null","null",
"310M500US18140","Columbus, OH Metro Area","184800","1056","null","null",
"310M500US18180","Concord, NH Micro Area","237600","3071","null","null",
"310M500US18220","Connersville, IN Micro Area","81900","3569","null","null",
"310M500US18260","Cookeville, TN Micro Area","151400","3620","null","null",
"310M500US18300","Coos Bay, OR Micro Area","198100","8413","null","null",
"310M500US18380","Cordele, GA Micro Area","83100","4798","null","null",
"310M500US18420","Corinth, MS Micro Area","102700","6873","null","null",
"310M500US18460","Cornelia, GA Micro Area","150500","4547","null","null",
"310M500US18500","Corning, NY Micro Area","99600","2139","null","null",
"310M500US18580","Corpus Christi, TX Metro Area","135900","2212","null","null",
"310M500US18620","Corsicana, TX Micro Area","97600","4829","null","null",
"310M500US18660","Cortland, NY Micro Area","123800","2980","null","null",
"310M500US18700","Corvallis, OR Metro Area","331300","7332","null","null",
"310M500US18740","Coshocton, OH Micro Area","99200","4284","null","null",
"310M500US18780","Craig, CO Micro Area","182300","10982","null","null",
"310M500US18820","Crawfordsville, IN Micro Area","125700","4139","null","null",
"310M500US18860","Crescent City, CA Micro Area","218800","14461","null","null",
"310M500US18880","Crestview-Fort Walton Beach-Destin, FL Metro Area","221300","3858","null","null",
"310M500US18900","Crossville, TN Micro Area","153200","5192","null","null",
"310M500US18980","Cullman, AL Micro Area","128600","5396","null","null",
"310M500US19000","Cullowhee, NC Micro Area","182000","10102","null","null",
"310M500US19060","Cumberland, MD-WV Metro Area","127400","3986","null","null",
"310M500US19100","Dallas-Fort Worth-Arlington, TX Metro Area","215700","779","null","null",
"310M500US19140","Dalton, GA Metro Area","127100","3569","null","null",
"310M500US19180","Danville, IL Metro Area","79900","2168","null","null",
"310M500US19220","Danville, KY Micro Area","123600","4924","null","null",
"310M500US19260","Danville, VA Micro Area","111800","3465","null","null",
"310M500US19300","Daphne-Fairhope-Foley, AL Metro Area","197900","4048","null","null",
"310M500US19340","Davenport-Moline-Rock Island, IA-IL Metro Area","136200","1541","null","null",
"310M500US19420","Dayton, TN Micro Area","122600","9907","null","null",
"310M500US19430","Dayton-Kettering, OH Metro Area","135000","1357","null","null",
"310M500US19460","Decatur, AL Metro Area","131000","3948","null","null",
"310M500US19500","Decatur, IL Metro Area","98400","2038","null","null",
"310M500US19540","Decatur, IN Micro Area","129300","6316","null","null",
"310M500US19580","Defiance, OH Micro Area","119900","3510","null","null",
"310M500US19620","Del Rio, TX Micro Area","103400","7470","null","null",
"310M500US19660","Deltona-Daytona Beach-Ormond Beach, FL Metro Area","184200","1615","null","null",
"310M500US19700","Deming, NM Micro Area","86900","5106","null","null",
"310M500US19740","Denver-Aurora-Lakewood, CO Metro Area","380900","1318","null","null",
"310M500US19760","DeRidder, LA Micro Area","127500","11505","null","null",
"310M500US19780","Des Moines-West Des Moines, IA Metro Area","182400","1912","null","null",
"310M500US19820","Detroit-Warren-Dearborn, MI Metro Area","170000","592","null","null",
"310M500US19860","Dickinson, ND Micro Area","237800","8091","null","null",
"310M500US19940","Dixon, IL Micro Area","119900","4185","null","null",
"310M500US19980","Dodge City, KS Micro Area","112500","6750","null","null",
"310M500US20020","Dothan, AL Metro Area","127500","3164","null","null",
"310M500US20060","Douglas, GA Micro Area","90800","7114","null","null",
"310M500US20100","Dover, DE Metro Area","220600","3934","null","null",
"310M500US20140","Dublin, GA Micro Area","86300","3106","null","null",
"310M500US20180","DuBois, PA Micro Area","96100","2316","null","null",
"310M500US20220","Dubuque, IA Metro Area","166800","2785","null","null",
"310M500US20260","Duluth, MN-WI Metro Area","158900","1496","null","null",
"310M500US20300","Dumas, TX Micro Area","121900","9540","null","null",
"310M500US20340","Duncan, OK Micro Area","107700","3940","null","null",
"310M500US20420","Durango, CO Micro Area","395600","10953","null","null",
"310M500US20460","Durant, OK Micro Area","117400","4370","null","null",
"310M500US20500","Durham-Chapel Hill, NC Metro Area","226100","2540","null","null",
"310M500US20540","Dyersburg, TN Micro Area","103800","9112","null","null",
"310M500US20580","Eagle Pass, TX Micro Area","97900","4586","null","null",
"310M500US20660","Easton, MD Micro Area","336800","9152","null","null",
"310M500US20700","East Stroudsburg, PA Metro Area","168000","2125","null","null",
"310M500US20740","Eau Claire, WI Metro Area","168600","1878","null","null",
"310M500US20780","Edwards, CO Micro Area","562300","29902","null","null",
"310M500US20820","Effingham, IL Micro Area","143600","5440","null","null",
"310M500US20900","El Campo, TX Micro Area","128100","11900","null","null",
"310M500US20940","El Centro, CA Metro Area","195800","6460","null","null",
"310M500US20980","El Dorado, AR Micro Area","86500","4672","null","null",
"310M500US21020","Elizabeth City, NC Micro Area","166100","4773","null","null",
"310M500US21060","Elizabethtown-Fort Knox, KY Metro Area","152700","3058","null","null",
